match_id,attack_mean,defense_mean,magic_mean,difficulty_mean,primary_role_Assassin_sum,primary_role_Fighter_sum,primary_role_Mage_sum,primary_role_Marksman_sum,primary_role_Support_sum,primary_role_Tank_sum,win
NA1_5213494096,4.6,3.2,7.0,5.0,0,1,3,1,0,0,True
NA1_5213494096,5.6,3.0,5.8,4.8,0,1,2,2,0,0,False
NA1_5213496025,5.2,5.6,5.0,4.4,1,0,1,1,0,2,False
NA1_5213496025,5.4,4.4,5.0,5.6,1,0,2,1,0,1,True
NA1_5213497541,4.6,4.6,6.2,5.4,0,1,3,1,0,0,True
NA1_5213497541,3.2,4.8,5.4,4.2,0,1,3,0,0,1,False
NA1_5213503292,5.2,4.6,5.4,5.0,0,1,1,1,2,0,False
NA1_5213503292,6.2,3.4,4.6,4.6,1,0,2,2,0,0,True
NA1_5213503471,6.0,4.2,5.0,5.4,1,2,1,1,0,0,True
NA1_5213503471,4.6,4.6,6.4,5.6,0,0,2,1,2,0,False
NA1_5213504759,6.8,2.6,5.0,7.8,0,1,2,2,0,0,True
NA1_5213504759,6.2,4.4,5.2,6.0,1,1,1,2,0,0,False
NA1_5213505095,3.6,4.2,7.0,7.0,1,0,2,1,0,1,True
NA1_5213505095,6.8,3.0,4.4,8.0,2,0,1,1,1,0,False
NA1_5213506292,4.4,3.2,4.6,4.2,0,2,2,0,1,0,False
NA1_5213506292,6.8,3.2,4.4,6.8,1,0,1,2,1,0,True
NA1_5213507934,5.0,3.2,6.0,5.0,0,1,1,1,2,0,False
NA1_5213507934,6.0,5.2,5.4,5.2,0,0,1,2,0,2,True
NA1_5213508507,6.2,3.0,5.8,5.4,0,1,1,2,1,0,True
NA1_5213508507,4.4,5.4,5.8,5.4,1,2,2,0,0,0,False
NA1_5213509042,5.8,3.0,6.4,6.2,1,1,1,2,0,0,False
NA1_5213509042,3.8,4.6,7.2,5.4,0,0,3,1,0,1,True
NA1_5213511236,3.2,5.4,6.2,4.2,0,1,2,0,1,1,True
NA1_5213511236,5.2,3.8,5.8,4.8,0,2,2,1,0,0,False
NA1_5213512434,3.8,3.6,7.6,5.8,0,0,3,1,1,0,True
NA1_5213512434,5.6,4.4,4.8,6.4,0,0,1,3,0,1,False
NA1_5213518010,4.8,4.0,4.0,4.6,0,1,2,1,0,1,True
NA1_5213518010,6.8,5.0,3.4,3.8,0,2,0,2,0,1,False
NA1_5213519420,4.0,4.2,7.6,4.4,0,1,2,1,0,1,True
NA1_5213519420,4.8,4.6,6.4,5.2,0,1,1,1,1,1,False
NA1_5213519710,3.6,3.8,7.4,4.6,0,0,3,1,0,1,True
NA1_5213519710,4.6,4.6,6.8,4.4,0,0,1,2,1,1,False
NA1_5213526707,5.4,4.8,5.6,6.4,0,0,2,2,0,1,True
NA1_5213526707,5.0,5.8,5.2,3.8,0,2,0,0,2,1,False
NA1_5213527968,6.4,3.8,6.2,6.4,2,2,1,0,0,0,False
NA1_5213527968,6.4,3.6,4.2,5.4,1,1,1,2,0,0,True
NA1_5213529909,5.4,4.4,6.0,6.2,0,1,0,2,2,0,True
